"";"Precipitacion";"Temp_Aire_med";"Temp_Aire_max";"Temp_Aire_min";"Temp_Rocio_med";"Humedad_med";"Presion_Atm_med";"Insolacion";"Evaporacion";"semana"
"1";"0,0";"30,0";"36,0";"24,0";"23,9";"s/d";"s/d";"10,6";"7,4";1
"2";"0,0";"33,8";"37,0";"25,6";"21,5";"57";"997";"7,0";"7,5";1
"3";"0,0";"31,7";"35,6";"25,2";"22,6";"55";"994";"11,1";"8,1";1
"4";"0,0";"33,3";"35,8";"26,0";"22,2";"54";"994";"11,2";"8,4";1
"5";"0,2";"29,8";"32,0";"27,6";"23,5";"74";"996";"4,8";"4,0";1
"6";"0,0";"27,6";"31,2";"24,2";"23,3";"79";"999";"1,6";"2,9";1
"7";"0,1";"30,7";"37,0";"24,9";"s/d";"66";"998";"7,8";"6,1";1
"8";"0,0";"30,6";"36,0";"25,2";"22,1";"s/d";"s/d";"12,0";"6,5";2
"9";"0,0";"33,9";"38,2";"28,0";"23,7";"51";"993";"9,6";"6,3";2
"10";"0,0";"30,5";"34,0";"28,8";"sd";"67";"995";"7,0";"6,4";2
"11";"4,3";"29,1";"33,5";"24,6";"23,2";"s/d";"s/d";"4,5";"3,0";2
"12";"0,0";"32,2";"35,4";"25,0";"23,7";"60";"996";"9,8";"7,5";2
"13";"0,0";"31,8";"37,0";"25,6";"23,0";"64";"995";"8,5";"5,9";2
"14";"0,0";"31,0";"35,1";"25,4";"20,7";"64";"996";"5,1";"5,3";2
"15";"12,3";"34,7";"38,1";"24,0";"23,0";"47";"998";"9,9";"2,3";3
"16";"7,6";"27,9";"32,0";"23,5";"20,3";"76";"996";"6,1";"1,4";3
"17";"0,0";"28,4";"32,0";"22,2";"22,3";"63";"996";"11,8";"6,2";3
"18";"0,0";"31,1";"34,0";"23,0";"21,0";"60";"996";"11,6";"7,0";3
"19";"0,0";"31,8";"35,5";"24,0";"21,9";"54";"997";"11,5";"7,4";3
"20";"0,0";"31,8";"35,5";"26,0";"19,8";"56";"999";"11,6";"7,0";3
"21";"0,0";"31,3";"36,0";"24,0";"21,4";"52";"998";"10,1";"6,5";3
"22";"5,1";"29,9";"36,0";"22,6";"21,9";"65";"995";"8,3";"5,3";4
"23";"0,0";"25,8";"33,4";"22,0";"22,4";"79";"996";"5,4";"4,5";4
"24";"61,6";"27,9";"33,0";"23,4";"22,5";"73";"998";"5,7";"s/d";4
"25";"0,0";"28,8";"34,0";"22,1";"14,2";"71";"998";"10,5";"6,8";4
"26";"0,0";"23,7";"28,4";"22,2";"14,7";"56";"1003";"8,6";"4,2";4
"27";"0,0";"24,0";"28,5";"15,2";"16,2";"57";"1004";"11,4";"5,7";4
"28";"0,0";"27,1";"31,0";"17,2";"19,4";"53";"1002";"11,2";"5,0";4
"29";"0,0";"30,7";"34,5";"20,6";"20,4";"51";"999";"10,8";"6,9";5
"30";"2,3";"28,6";"34,5";"23,0";"20,0";"63";"998";"8,4";"5,5";5
"31";"0,0";"26,3";"30,0";"20,3";"21,2";"69";"997";"9,2";"5,8";5
"32";"44,8";"29,7";"33,5";"22,3";"22,4";"66";"995";"6,9";"44,8";5
"33";"0,0";"26,9";"32,0";"21,8";"22,4";"77";"995";"s/d";"0,0";5
"34";"0,0";"26,6";"34,0";"23,4";"23,9";"94";"997";"10,0";"0,0";5
"35";"0,0";"30,4";"35,5";"24,8";"21,4";"61";"996";"11,3";"0,0";5
"36";"46,3";"24,4";"27,5";"21,0";"21,3";"84";"997";"4,0";"46,3";6
"37";"0,0";"25,3";"29,5";"20,6";"16,2";"58";"999";"11,2";"0,0";6
"38";"0,0";"26,3";"31,5";"18,6";"14,9";"50";"997";"11,5";"0,0";6
"39";"3,8";"28,7";"35,1";"20,8";"21,2";"64";"997";"9,2";"3,8";6
"40";"38,5";"29,8";"34,0";"25,6";"21,0";"76";"994";"4,0";"38,5";6
"41";"35,7";"21,9";"22,0";"21,8";"21,3";"95";"995";"s/d";"35,7";6
"42";"1,5";"24,6";"27,5";"21,6";"22,9";"90";"994";"s/d";"1,5";6
"43";"0,0";"26,6";"30,0";"21,8";"19,8";"67";"994";"9,2";"0,0";7
"44";"0,0";"25,7";"30,5";"20,9";"19,7";"71";"995";"10,8";"0,0";7
"45";"0,0";"27,2";"32,0";"20,8";"20,3";"67";"998";"10,7";"0,0";7
