Precipitacion;Temp_Aire_med;Temp_Aire_max;Temp_Aire_min;Temp_Rocio_med;Humedad_med;Presion_Atm_med;Insolacion;Evaporacion;semana
0,0;30,0;36,0;24,0;23,9;s/d;s/d;10,6;7,4;1,0
0,0;33,8;37,0;25,6;21,5;57,0;997,0;7,0;7,5;1,0
0,0;31,7;35,6;25,2;22,6;55,0;994,0;11,1;8,1;1,0
0,0;33,3;35,8;26,0;22,2;54,0;994,0;11,2;8,4;1,0
0,2;29,8;32,0;27,6;23,5;74,0;996,0;4,8;4,0;1,0
0,0;27,6;31,2;24,2;23,3;79,0;999,0;1,6;2,9;1,0
0,1;30,7;37,0;24,9;s/d;66,0;998,0;7,8;6,1;1,0
0,0;30,6;36,0;25,2;22,1;s/d;s/d;12,0;6,5;2,0
0,0;33,9;38,2;28,0;23,7;51,0;993,0;9,6;6,3;2,0
0,0;30,5;34,0;28,8;sd;67,0;995,0;7,0;6,4;2,0
4,3;29,1;33,5;24,6;23,2;s/d;s/d;4,5;3,0;2,0
0,0;32,2;35,4;25,0;23,7;60,0;996,0;9,8;7,5;2,0
0,0;31,8;37,0;25,6;23,0;64,0;995,0;8,5;5,9;2,0
0,0;31,0;35,1;25,4;20,7;64,0;996,0;5,1;5,3;2,0
12,3;34,7;38,1;24,0;23,0;47,0;998,0;9,9;2,3;3,0
7,6;27,9;32,0;23,5;20,3;76,0;996,0;6,1;1,4;3,0
0,0;28,4;32,0;22,2;22,3;63,0;996,0;11,8;6,2;3,0
0,0;31,1;34,0;23,0;21,0;60,0;996,0;11,6;7,0;3,0
0,0;31,8;35,5;24,0;21,9;54,0;997,0;11,5;7,4;3,0
0,0;31,8;35,5;26,0;19,8;56,0;999,0;11,6;7,0;3,0
0,0;31,3;36,0;24,0;21,4;52,0;998,0;10,1;6,5;3,0
5,1;29,9;36,0;22,6;21,9;65,0;995,0;8,3;5,3;4,0
0,0;25,8;33,4;22,0;22,4;79,0;996,0;5,4;4,5;4,0
61,6;27,9;33,0;23,4;22,5;73,0;998,0;5,7;s/d;4,0
0,0;28,8;34,0;22,1;14,2;71,0;998,0;10,5;6,8;4,0
0,0;23,7;28,4;22,2;14,7;56,0;1003,0;8,6;4,2;4,0
0,0;24,0;28,5;15,2;16,2;57,0;1004,0;11,4;5,7;4,0
0,0;27,1;31,0;17,2;19,4;53,0;1002,0;11,2;5,0;4,0
0,0;30,7;34,5;20,6;20,4;51,0;999,0;10,8;6,9;5,0
2,3;28,6;34,5;23,0;20,0;63,0;998,0;8,4;5,5;5,0
0,0;26,3;30,0;20,3;21,2;69,0;997,0;9,2;5,8;5,0
44,8;29,7;33,5;22,3;22,4;66,0;995,0;6,9;44,8;5,0
0,0;26,9;32,0;21,8;22,4;77,0;995,0;s/d;0,0;5,0
0,0;26,6;34,0;23,4;23,9;94,0;997,0;10,0;0,0;5,0
0,0;30,4;35,5;24,8;21,4;61,0;996,0;11,3;0,0;5,0
46,3;24,4;27,5;21,0;21,3;84,0;997,0;4,0;46,3;6,0
