Fecha;Niv_rio.Bhahia;Niv_rio.Asu;Niv_rio.Pilar;Precipitacion;Temp_Aire_med;Temp_Aire_max;Temp_Aire_min;Temp_Rocio_med;Humedad_med;Presion_Atm_med;Insolacion;Evaporacion;semana
1/1/2017;1,84;3,07;5,64;0;30;36;24;23,9;NA;NA;10,6;7,4;1
2/1/2017;1,85;2,8;5,34;0;33,8;37;25,6;21,5;57;997;7;7,5;1
3/1/2017;1,85;2,6;5,19;0;31,7;35,6;25,2;22,6;55;994;11,1;8,1;1
4/1/2017;1,85;2,6;5,19;0;33,3;35,8;26;22,2;54;994;11,2;8,4;1
5/1/2017;1,88;2,28;4,7;0,2;29,8;32;27,6;23,5;74;996;4,8;4;1
6/1/2017;1,9;2,18;4,8;0;27,6;31,2;24,2;23,3;79;999;1,6;2,9;1
7/1/2017;1,9;2,1;4,7;0,1;30,7;37;24,9;NA;66;998;7,8;6,1;1
8/1/2017;1,91;2;4,5;0;30,6;36;25,2;22,1;NA;NA;12;6,5;2
9/1/2017;1,91;1,98;4,38;0;33,9;38,2;28;23,7;51;993;9,6;6,3;2
10/1/2017;1,92;1,88;4,13;0;30,5;34;28,8;NA;67;995;7;6,4;2
11/1/2017;1,93;1,86;4;4,3;29,1;33,5;24,6;23,2;NA;NA;4,5;3;2
12/1/2017;1,94;1,86;3,9;0;32,2;35,4;25;23,7;60;996;9,8;7,5;2
13/1/2017;1,94;1,81;3,75;0;31,8;37;25,6;23;64;995;8,5;5,9;2
14/1/2017;1,95;1,8;3,55;0;31;35,1;25,4;20,7;64;996;5,1;5,3;2
15/1/2017;1,96;1,8;3,55;12,3;34,7;38,1;24;23;47;998;9,9;2,3;3
16/1/2017;1,97;1,78;3,55;7,6;27,9;32;23,5;20,3;76;996;6,1;1,4;3
17/1/2017;1,98;1,78;3,5;0;28,4;32;22,2;22,3;63;996;11,8;6,2;3
18/1/2017;2;1,74;3,5;0;31,1;34;23;21;60;996;11,6;7;3
19/1/2017;2;1,72;3,48;0;31,8;35,5;24;21,9;54;997;11,5;7,4;3
20/1/2017;2,01;1,72;3,47;0;31,8;35,5;26;19,8;56;999;11,6;7;3
21/1/2017;2,03;1,68;3,44;0;31,3;36;24;21,4;52;998;10,1;6,5;3
22/1/2017;2,03;1,6;3,42;5,1;29,9;36;22,6;21,9;65;995;8,3;5,3;4
23/1/2017;2,05;1,58;3,4;0;25,8;33,4;22;22,4;79;996;5,4;4,5;4
24/1/2017;2,05;1,5;3,41;61,6;27,9;33;23,4;22,5;73;998;5,7;NA;4
25/1/2017;2,06;1,52;3,35;0;28,8;34;22,1;14,2;71;998;10,5;6,8;4
26/1/2017;2,08;1,5;3,28;0;23,7;28,4;22,2;14,7;56;1003;8,6;4,2;4
27/1/2017;2,08;1,47;3,17;0;24;28,5;15,2;16,2;57;1004;11,4;5,7;4
28/1/2017;2,09;1,47;3,06;0;27,1;31;17,2;19,4;53;1002;11,2;5;4
29/1/2017;2,09;1,38;2,9;0;30,7;34,5;20,6;20,4;51;999;10,8;6,9;5
30/1/2017;2,08;1,32;2,84;2,3;28,6;34,5;23;20;63;998;8,4;5,5;5
31/1/2017;2,08;1,32;2,77;0;26,3;30;20,3;21,2;69;997;9,2;5,8;5
1/2/2017;2,09;1,36;2,66;44,8;29,7;33,5;22,3;22,4;66;995;6,9;44,8;5
2/2/2017;2,09;1,4;2,65;0;26,9;32;21,8;22,4;77;995;NA;0;5
3/2/2017;2,14;1,42;2,67;0;26,6;34;23,4;23,9;94;997;10;0;5
4/2/2017;2,16;1,44;2,68;0;30,4;35,5;24,8;21,4;61;996;11,3;0;5
5/2/2017;2,19;1,46;2,7;46,3;24,4;27,5;21;21,3;84;997;4;46,3;6
6/2/2017;2,2;1,64;2,76;0;25,3;29,5;20,6;16,2;58;999;11,2;0;6
7/2/2017;2,24;1,7;2,78;0;26,3;31,5;18,6;14,9;50;997;11,5;0;6
8/2/2017;2,26;1,76;2,83;3,8;28,7;35,1;20,8;21,2;64;997;9,2;3,8;6
9/2/2017;2,28;1,8;2,86;38,5;29,8;34;25,6;21;76;994;4;38,5;6
10/2/2017;2,31;1,87;2,9;35,7;21,9;22;21,8;21,3;95;995;NA;35,7;6
11/2/2017;2,3;2,1;2,98;1,5;24,6;27,5;21,6;22,9;90;994;NA;1,5;6
12/2/2017;2,3;2,16;3,16;0;26,6;30;21,8;19,8;67;994;9,2;0;7
13/2/2017;2,3;2,2;3,26;0;25,7;30,5;20,9;19,7;71;995;10,8;0;7
14/2/2017;2,3;2,2;3,33;0;27,2;32;20,8;20,3;67;998;10,7;0;7
15/2/2017;2,32;2,19;3,41;0,6;28,9;33;23,2;24,4;77;1001;6,2;0,6;7
16/2/2017;2,34;2,2;3,46;0;30,6;34;24,3;22,6;64;998;11;0;7
17/2/2017;2,36;2,19;3,49;0;30,2;35;24,4;21,6;62;995;11,3;0;7
18/2/2017;2,36;2,15;3,58;0;31,7;35;25;22,3;59;996;11,2;0;7
19/2/2017;2,32;2,15;3,67;0;29,6;34,5;25,3;23,7;71;999;5,7;0;8
20/2/2017;2,3;2,14;3,75;0;31,9;35,5;25,6;22,6;59;1002;11;0;8
21/2/2017;2,29;2,02;3,81;0;32,4;37,2;25;22,5;57;1000;NA;0;8
22/2/2017;2,27;2;3,79;19,7;33,1;36,8;25,4;22;53;998;NA;19,7;8
23/2/2017;2,27;1,99;3,79;9,1;29,7;33,8;23;23;68;998;NA;9,1;8
24/2/2017;2,26;1,98;3,78;0;28,8;33;22,3;22,2;70;998;NA;0;8
25/2/2017;2,26;1,96;3,75;0,5;28;33,5;22,5;0;NA;NA;NA;NA;8
26/2/2017;2,29;1,95;3,72;5,6;28;33;23;0;NA;NA;NA;14;9
27/2/2017;2,29;1,82;3,72;15,9;29,3;34,6;23,9;NA;NA;NA;NA;9,5;9
28/2/2017;2,29;1,75;3,74;0,6;26,7;29;24,8;23;81;995;NA;NA;9
1/3/2017;2,3;1,8;3,71;0;29,6;33,5;24,1;23;69;992;NA;0;9
2/3/2017;2,3;1,8;3,65;0;30,5;34,5;23,6;23,4;68;993;NA;0;9
3/3/2017;2,32;1,8;3,62;49,2;31,9;35;26,2;23,7;63;994;NA;49,2;9
4/3/2017;2,34;1,93;3,6;1,6;26,3;29,5;23,2;24,7;91;993;NA;1,6;9
5/3/2017;2,32;1,85;3,58;0;27,3;30,5;24,6;23,3;79;994;NA;0;10
6/3/2017;2,36;1,82;3,59;0;29,4;33,9;23,2;23,8;72;997;NA;0;10
7/3/2017;2,38;1,8;3,64;0;30,6;35,1;25;24,3;70;998;9;0;10
8/3/2017;2,4;1,78;3,69;0;31,7;35,1;25,6;24,3;66;994;10,5;0;10
9/3/2017;2,43;1,8;3,75;0;31,6;36,2;27,9;22,4;59;991;NA;0;10
10/3/2017;2,45;1,75;3,74;6,2;27,7;32,5;27,6;22,8;75;997;2,9;6,2;10
11/3/2017;2,45;1,77;3,76;0;29,8;35;24,2;24,3;73;995;7;0;10
12/3/2017;2,5;1,78;3,8;6,5;28,1;30;26,2;21,3;79;1000;2,2;6,5;11
13/3/2017;2,5;1,8;3,78;0;20,7;27;17;13,3;63;1002;10,2;0;11
14/3/2017;2,45;1,8;3,78;0;24,7;31;14,2;15,8;59;999;10;0;11
