"";"semana";"RiopyBahia";"RiopyAsu";"RiopyPilar"
"1";1;1,86714285714286;2,51857142857143;5,08
"2";2;1,92857142857143;1,88428571428571;4,03
"3";3;1,99285714285714;1,74571428571429;3,49857142857143
"4";4;2,06285714285714;1,52;3,29857142857143
"5";5;2,10428571428571;1,37714285714286;2,73857142857143
"6";6;2,25428571428571;1,76142857142857;2,83
"7";7;2,32571428571429;2,18428571428571;3,38428571428571
"8";8;2,28142857142857;2,03428571428571;3,76285714285714
"9";9;2,30428571428571;1,83571428571429;3,68
"10";10;2,39857142857143;1,79571428571429;3,67857142857143
"11";11;2,47;1,775;3,75666666666667
"12";12;2,51285714285714;1,66714285714286;3,67714285714286
"13";13;2,56857142857143;1,68285714285714;3,73571428571429
"14";14;2,63333333333333;1,79833333333333;3,72666666666667
"15";15;2,70666666666667;1,95166666666667;4,42333333333333
"16";16;2,818;2,298;4,856
"17";17;2,83857142857143;2,89;5,50142857142857
"18";18;2,89;3,285;6,24333333333333
"19";19;3,01571428571429;3,78285714285714;6,38714285714286
"20";20;3,16714285714286;4,32857142857143;6,60142857142857
"21";21;3,50571428571429;4,57428571428571;6,86857142857143
"22";22;3,81428571428571;4,73285714285714;7,16857142857143
"23";23;3,99428571428571;4,89714285714286;7,31428571428571
"24";24;4,12428571428571;5,01;7,43857142857143
"25";25;4,23571428571429;4,93857142857143;7,37285714285714
"26";26;4,32571428571429;4,74285714285714;7,08142857142857
"27";27;4,35857142857143;4,43428571428571;6,72571428571429
"28";28;4,39142857142857;4,06714285714286;6,25142857142857
"29";29;4,46857142857143;3,73571428571429;5,61142857142857
"30";30;4,47285714285714;3,48285714285714;4,96285714285714
"31";31;4,45857142857143;3,30857142857143;4,43142857142857
"32";32;4,445;3,18333333333333;4,08
"33";33;4,41857142857143;3,22;3,82428571428571
"34";34;4,4;3,22;3,87428571428571
"35";35;4,30571428571429;3,20428571428571;3,96
"36";36;4,15571428571429;3,06714285714286;3,77142857142857
"37";37;3,98833333333333;2,89166666666667;3,44
"38";38;3,76857142857143;2,83142857142857;3,20285714285714
"39";39;3,44285714285714;2,68857142857143;3,19428571428571
